score_thr,precision,recall
1.0,0.0,0.0
0.99,0.0,0.0
0.98,0.0,0.0
0.97,0.0,0.0
0.96,0.0,0.0
0.95,0.0,0.0
0.94,0.0,0.0
0.9299999999999999,0.0,0.0
0.92,0.0,0.0
0.91,0.0,0.0
0.9,0.0,0.0
0.89,0.0,0.0
0.88,0.0,0.0
0.87,0.0,0.0
0.86,0.0,0.0
0.85,0.0,0.0
0.84,0.0,0.0
0.83,0.0,0.0
0.8200000000000001,0.0,0.0
0.81,0.0,0.0
0.8,0.0,0.0
0.79,0.0,0.0
0.78,0.0,0.0
0.77,0.029850746268656716,1.000020000400008e-05
0.76,0.04054054054054054,3.000060001200024e-05
0.75,0.07017543859649122,0.0001000020000400008
0.74,0.09156193895870736,0.00025500510010200203
0.73,0.12379110251450677,0.0006400128002560051
0.72,0.1529140219272937,0.0013250265005300106
0.71,0.16975748930099857,0.002380047600952019
0.7,0.1868495742667928,0.003950079001580032
0.69,0.2062369393988105,0.006415128302566051
0.6799999999999999,0.22400906002265006,0.009890197803956079
0.6699999999999999,0.24609726195341233,0.01505530110602212
0.6599999999999999,0.26395418927064496,0.021895437908758177
0.6499999999999999,0.28151606701455645,0.030750615012300246
0.64,0.2982811999572969,0.041910838216764335
0.63,0.3106817926541615,0.055321106422128445
0.62,0.3177985209235209,0.07047640952819056
0.61,0.3239428793687837,0.0874517490349807
0.6,0.3262161533090232,0.10511710234204684
0.59,0.3255391148563466,0.12265745314906298
0.5800000000000001,0.3231319188191882,0.1401128022560451
0.5700000000000001,0.3183507253754136,0.15635312706254126
0.56,0.3130268968285829,0.17154843096861938
0.55,0.30603380519405304,0.1849536990739815
0.54,0.29866138505668627,0.19678893577871556
0.53,0.29105155975844355,0.20652413048260965
0.52,0.28375401104899267,0.2144442888857777
0.51,0.2764855937674319,0.22056941138822778
0.5,0.2703457367128048,0.2255945118902378
0.49,0.2652792382625175,0.22957459149182985
0.48,0.2606670142451101,0.23248964979299586
0.47,0.2570263093054453,0.2347146942938859
0.45999999999999996,0.2542153396451485,0.2365597311946239
0.44999999999999996,0.25182843191772186,0.2377597551951039
0.43999999999999995,0.2499319400234545,0.2386997739954799
0.42999999999999994,0.24847160665538753,0.23938978779575593
0.42000000000000004,0.247244873764188,0.2398347966959339
0.41000000000000003,0.246371385489645,0.24018980379607593
0.4,0.24571854818932395,0.24047480949618993
0.39,0.2451984308930664,0.24065481309626194
0.38,0.24469663857858734,0.24073981479629591
0.37,0.24432573382440975,0.24080981619632394
0.36,0.2440273556231003,0.24085981719634392
0.35,0.24379061152608247,0.24087481749634992
0.33999999999999997,0.24360251399331556,0.24089481789635792
0.32999999999999996,0.2434635403506999,0.24089981799635993
0.31999999999999995,0.24334671818572115,0.24089981799635993
0.30999999999999994,0.24326207474578154,0.24090481809636194
0.29999999999999993,0.24318717538449114,0.24090481809636194
0.29000000000000004,0.24314544821425868,0.24090481809636194
0.28,0.2431025087290855,0.24090481809636194
0.27,0.24307429961001156,0.24090481809636194
0.26,0.24305590588520173,0.24090481809636194
0.25,0.2430424189228045,0.24090481809636194
0.24,0.24303874092009686,0.24090481809636194
0.22999999999999998,0.24303628898013538,0.24090481809636194
0.21999999999999997,0.2430350630287072,0.24090481809636194
0.20999999999999996,0.2430338370896471,0.24090481809636194
0.19999999999999996,0.2430338370896471,0.24090481809636194
0.18999999999999995,0.2430338370896471,0.24090481809636194
0.17999999999999994,0.2430338370896471,0.24090481809636194
0.16999999999999993,0.2430338370896471,0.24090481809636194
0.16000000000000003,0.2430338370896471,0.24090481809636194
0.15000000000000002,0.2430338370896471,0.24090481809636194
0.14,0.2430338370896471,0.24090481809636194
0.13,0.2430338370896471,0.24090481809636194
0.12,0.2430338370896471,0.24090481809636194
0.10999999999999999,0.2430338370896471,0.24090481809636194
0.09999999999999998,0.2430338370896471,0.24090481809636194
0.08999999999999997,0.2430338370896471,0.24090481809636194
0.07999999999999996,0.2430338370896471,0.24090481809636194
0.06999999999999995,0.2430338370896471,0.24090481809636194
0.05999999999999994,0.2430338370896471,0.24090481809636194
0.04999999999999993,0.2430338370896471,0.24090481809636194
0.040000000000000036,0.2430338370896471,0.24090481809636194
0.030000000000000027,0.2430338370896471,0.24090481809636194
0.020000000000000018,0.2430338370896471,0.24090481809636194
0.010000000000000009,0.2430338370896471,0.24090481809636194
0.0,0.2430338370896471,0.24090481809636194
